日期,淨值,MA_7,MA_15,MA_30
2021/08/02,10.28,10.284285714285714,10.217333333333332,10.271333333333333
2021/07/30,10.28,10.282857142857143,10.229999999999999,10.270999999999999
2021/07/29,10.3,10.285714285714286,10.246666666666668,10.268333333333334
2021/07/28,10.26,10.278571428571428,10.256,10.264666666666667
2021/07/27,10.26,10.272857142857143,10.265999999999998,10.260666666666667
2021/07/26,10.29,10.274285714285714,10.275333333333332,10.257666666666667
2021/07/23,10.25,10.274285714285714,10.274666666666667,10.253000000000002
2021/07/22,10.2,10.262857142857143,10.272666666666668,10.247000000000002
2021/07/21,10.17,10.247142857142856,10.266666666666664,10.240666666666666
2021/07/20,10.05,10.211428571428572,10.250666666666666,10.231
2021/07/19,10.01,10.175714285714287,10.232666666666665,10.219666666666665
2021/07/16,10.16,10.161428571428571,10.222666666666665,10.215666666666666
2021/07/15,10.2,10.14857142857143,10.216000000000001,10.212666666666667
2021/07/14,10.33,10.16,10.219333333333333,10.214666666666666
2021/07/13,10.33,10.178571428571429,10.224666666666668,10.217666666666668
2021/07/12,10.33,10.20142857142857,10.228000000000002,10.222666666666667
2021/07/09,10.29,10.235714285714286,10.228666666666667,10.229333333333333
2021/07/08,10.22,10.265714285714285,10.223333333333333,10.235000000000001
2021/07/07,10.35,10.292857142857143,10.229333333333333,10.242666666666668
2021/07/06,10.33,10.31142857142857,10.234000000000002,10.25
2021/07/02,10.31,10.308571428571428,10.235333333333333,10.255333333333333
2021/07/01,10.29,10.302857142857144,10.238,10.256333333333334
2021/06/30,10.27,10.294285714285715,10.242666666666667,10.257666666666667
2021/06/29,10.29,10.294285714285715,10.250666666666667,10.258666666666667
2021/06/28,10.26,10.299999999999999,10.264666666666667,10.257666666666667
2021/06/25,10.24,10.284285714285714,10.280000000000001,10.256333333333334
2021/06/24,10.24,10.271428571428572,10.285333333333334,10.253999999999998
2021/06/22,10.13,10.245714285714286,10.280666666666667,10.248333333333335
2021/06/21,10.08,10.215714285714286,10.264000000000001,10.241666666666667
2021/06/18,10.09,10.19,10.248,10.236333333333333
2021/06/17,10.09,10.161428571428571,10.232,10.23
2021/06/16,10.09,10.137142857142859,10.218666666666667,10.223666666666666
2021/06/15,10.11,10.118571428571428,10.211333333333332,10.217333333333332
2021/06/14,10.16,10.107142857142858,10.198666666666666,10.213999999999999
2021/06/11,10.14,10.108571428571429,10.186,10.21
2021/06/10,10.12,10.114285714285714,10.173333333333334,10.204333333333333
2021/06/09,10.11,10.117142857142856,10.161333333333333,10.199666666666666
2021/06/08,10.09,10.117142857142856,10.149333333333335,10.196
2021/06/07,10.05,10.111428571428572,10.133333333333333,10.192000000000002
2021/06/04,10.05,10.102857142857143,10.119333333333334,10.192
2021/06/03,9.99,10.078571428571431,10.102666666666666,10.191333333333334
2021/06/02,10.05,10.065714285714288,10.090000000000002,10.187666666666667
2021/06/01,10.06,10.057142857142859,10.085333333333333,10.183
2021/05/28,10.07,10.051428571428572,10.084666666666667,10.174333333333333
2021/05/27,10.01,10.040000000000001,10.079333333333333,10.163666666666666
2021/05/26,10.0,10.032857142857143,10.073333333333332,10.152666666666667
2021/05/25,9.98,10.022857142857143,10.066,10.142333333333333
2021/05/21,9.94,10.015714285714285,10.054666666666668,10.133000000000001
2021/05/20,9.87,9.99,10.035333333333334,10.116999999999999
2021/05/19,9.74,9.944285714285714,10.008666666666667,10.097333333333333
2021/05/18,9.87,9.915714285714285,9.991999999999999,10.082666666666666
2021/05/17,9.83,9.889999999999999,9.973333333333333,10.067333333333332
